,id,imte1,imte2,imte3,imte4,imte5,safeinform,skillmat,wsituation1,wsituation2,wsituation3,wsituation4,wsituation5,wsituation11,wsituation6,wsituation7,wsituation,wsituation.1,wsituation10,wsituation12,wsituation13,wsituation14,wstat1,wstat2,wstat3,wstat4,wstat5,wstat6,wstat7,emo_manual,asb5,asb6,asb7,disc1,disc5,disc,disc10,disc11,disc6,disc7,disc.1,disc2,disc3,disc4,wtime_con1,wday,wday_week,ctime,wtime_night_a,wtime_sun_a,wtime_sat_a,wtime_long_a,wtime_night2,wtime_night3
39,1000495_2,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2,2,3.0,3.0,2.0,2.0,2.0,2.0,2,2,2,2,2.0,2,2.0,3.0,3,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,5,70.0,0.0,0.0,0.0,0.0,2,2
40,1000497_1,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2,1,2.0,1.0,2.0,2.0,1.0,2.0,2,2,1,2,2.0,2,2.0,2.0,1,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,1.0,0.0,0.0,1.0,2,2
41,1000535_1,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2,1,2.0,1.0,2.0,2.0,2.0,1.0,2,2,2,1,2.0,2,2.0,1.0,2,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
42,1000547_2,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2,2,1.0,2.0,2.0,1.0,2.0,2.0,2,1,2,2,2.0,2,2.0,1.0,2,2,1.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
43,1000554_1,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2,1,2.0,1.0,2.0,2.0,1.0,2.0,2,2,1,3,2.0,3,2.0,1.0,2,1,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,50.0,0.0,0.0,1.0,0.0,2,2
44,1000583_1,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2,1,2.0,2.0,2.0,3.0,2.0,2.0,3,2,2,3,2.0,3,2.0,2.0,1,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,30.0,0.0,0.0,0.0,0.0,2,2
45,1000598_2,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2,1,2.0,1.0,2.0,2.0,1.0,2.0,1,1,2,2,2.0,2,2.0,1.0,2,1,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,20.0,0.0,0.0,1.0,0.0,2,2
46,1000599_1,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3,3,3,4,4.0,3,3.0,4.0,3,3,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,6,30.0,0.0,0.0,1.0,0.0,2,2
47,1000599_2,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3,2,4.0,3.0,3.0,3.0,2.0,3.0,2,3,3,3,3.0,3,3.0,4.0,3,3,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,4,30.0,0.0,0.0,0.0,0.0,2,2
48,1000600_1,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3,2,1.0,3.0,2.0,2.0,1.0,2.0,2,2,1,2,2.0,2,2.0,1.0,2,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,30.0,0.0,0.0,0.0,1.0,2,2
